atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,yelp_id
35.0,12.0,60.0,29.0,3.0,17.0,34.0,,15.0,,8.0,13.0,7.0,1.0,1.0,,,JdVlUaXM9aZQ68tjgonszw
33.0,12.0,60.0,29.0,3.0,16.0,31.0,1.0,14.0,,9.0,13.0,7.0,1.0,1.0,,,JzW-uJwi7cGd0c_VS8wvBQ
15.0,3.0,20.0,3.0,2.0,17.0,14.0,2.0,3.0,1.0,,11.0,,,,,1.0,KENZN5yZDjVQtKzwJ5gD6Q
8.0,4.0,2.0,31.0,2.0,4.0,6.0,2.0,6.0,,1.0,16.0,3.0,,,,1.0,KjmdwtRacEv1c0_w3Nmsdg
39.0,19.0,48.0,49.0,7.0,20.0,57.0,1.0,11.0,3.0,4.0,42.0,8.0,4.0,3.0,,,KwL8wWNuUHoplvn8ff97bg
2.0,,2.0,3.0,1.0,21.0,4.0,2.0,2.0,,1.0,7.0,,,,,,Kx3hGswNK6iuMb53KUcsvg
43.0,17.0,60.0,27.0,3.0,15.0,34.0,1.0,11.0,,9.0,15.0,7.0,2.0,1.0,,,LGNpVs8cRBllNVml8wI0Vg
35.0,12.0,60.0,23.0,3.0,12.0,26.0,1.0,10.0,,9.0,12.0,7.0,2.0,1.0,,,M0Z57IL0dlzpU6QCez0wGA
34.0,12.0,60.0,29.0,3.0,17.0,33.0,1.0,14.0,,8.0,13.0,7.0,1.0,1.0,,,Mgkv-Kr_tcANDPYnV4PqQw
2.0,2.0,5.0,6.0,,2.0,2.0,,7.0,1.0,,,4.0,,1.0,,,Mj9P_ON9YPDmFV4GJXYYYA
10.0,7.0,17.0,17.0,3.0,34.0,9.0,,9.0,,1.0,22.0,1.0,,3.0,,,MjpH-uP90jTUp_KqAOiBJg
13.0,3.0,5.0,11.0,,38.0,8.0,1.0,7.0,,,17.0,1.0,,2.0,,,NYa-JphaaB41ElGsb3iawA
3.0,1.0,1.0,5.0,,17.0,1.0,,,,1.0,1.0,,1.0,,,,NsE1oIckP5CcmezF2UzMag
25.0,8.0,49.0,16.0,2.0,8.0,22.0,,6.0,1.0,4.0,11.0,8.0,1.0,,,,OFHWBXs5-UyEYf0-MrFDUw
7.0,,3.0,11.0,,20.0,,2.0,,,,10.0,1.0,1.0,2.0,,,OP0xCQM6ih4VEhl2t39Z-g
6.0,,,5.0,1.0,14.0,1.0,,,,1.0,5.0,1.0,,,,,Of0s9Bp9sxRIrfS6_WsuXw
