name,latitude,longitude,zipcode,city,state,price,rating,review_count,category_x,Accept_Credit_Card,Alcohol,Outdoor_Seating,Parking,Take_out,Takes_Reservations,WIFI,Ambience,Attire,Noise_Level,atm,bank,bar,beauty_salon,bus_station,cafe,gym,school,White population,Black population,American Indian population,Asian population,Hispanic or Latino population,High school or higher,Graduate or professional degree,Unemployed,average_price,review_count_binned
Middle East Restaurant and Nightclub,42.3637902,-71.1012764,02139,Cambridge,MA,$$,3.5,531,"mideastern,musicvenues,bars",1,Full Bar,0,Street,1,0,0,Hipster,Casual,3,18.0,10.0,19.0,9.0,24.0,16.0,9.0,22.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,20,Meadium to Large Reviews
Boston Beer Works,42.347209899999996,-71.09913,02215,Boston,MA,$$,3.5,691,"breweries,tradamerican,beerbar",1,Full Bar,0,Street,1,1,0,Casual,Casual,2,24.0,6.0,34.0,14.0,21.0,21.0,6.0,23.0,0.6747165894938528,0.039477885997125976,0.0011575922082069296,0.20692958646016285,0.08486348395337698,0.982,0.47100000000000003,0.07400000000000001,20,large Number of Reviews
Craigie On Main,42.363481799999995,-71.09861289,02139,Cambridge,MA,$$$$,4.0,1216,"newamerican,french,bars",1,Full Bar,0,"Valet, Garage, Street",0,1,0,Casual,Casual,2,16.0,8.0,17.0,8.0,31.0,15.0,9.0,17.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,60,Very Popular Resturant
Gyro City,42.34316228,-71.09899293,02215,Boston,MA,$,4.0,283,"greek,mediterranean",1,No,1,Street,1,0,0,Casual,Casual,2,15.0,3.0,20.0,3.0,17.0,14.0,3.0,11.0,0.6747165894938528,0.039477885997125976,0.0011575922082069296,0.20692958646016285,0.08486348395337698,0.982,0.47100000000000003,0.07400000000000001,10,Medium No Reviews
Porcinis Italian Restaurant,42.36483,-71.1667,02472,Watertown,MA,$$,4.0,167,"italian,seafood,mediterranean",1,Full Bar,1,Street,1,1,0,Casual,Casual,2,4.0,1.0,3.0,1.0,7.0,1.0,3.0,7.0,0.7600919700806194,0.026106696935300794,0.0007276113973049274,0.0670566663756221,0.04930294828138188,0.961,0.311,0.044000000000000004,20,Medium No Reviews
Eastern Standard Kitchen & Drinks,42.34874032,-71.09601684,02215,Boston,MA,$$$,4.0,1749,"newamerican,lounges,breakfast_brunch",1,Full Bar,1,"Valet, Street",1,1,0,Classy,Casual,2,18.0,4.0,26.0,11.0,16.0,8.0,8.0,20.0,0.6747165894938528,0.039477885997125976,0.0011575922082069296,0.20692958646016285,0.08486348395337698,0.982,0.47100000000000003,0.07400000000000001,45,Very Popular Resturant
Cuchi Cuchi,42.36334,-71.09713,02139,Cambridge,MA,$$$,4.0,1066,"tapasmallplates,wine_bars,cocktailbars",1,Full Bar,0,Street,0,1,0,Trendy,Casual,3,12.0,5.0,17.0,5.0,23.0,13.0,10.0,20.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,45,Very Popular Resturant
Island Creek Oyster Bar,42.34868224,-71.09511845,02215,Boston,MA,$$$,4.5,2486,"seafood,bars",1,Full Bar,0,"Valet, Street",0,1,0,Trendy,Casual,2,16.0,4.0,27.0,6.0,14.0,8.0,8.0,24.0,0.6747165894938528,0.039477885997125976,0.0011575922082069296,0.20692958646016285,0.08486348395337698,0.982,0.47100000000000003,0.07400000000000001,45,Very Popular Resturant
Trattoria Pulcinella,42.38273710000001,-71.13073979,02138,Cambridge,MA,$$$,3.0,47,italian,1,Beer & Wine Only,1,Street,1,1,0,Romantic,Casual,4,3.0,1.0,1.0,3.0,10.0,2.0,1.0,7.0,0.6631735730623969,0.06005638597797755,0.0014894409277089206,0.14322570349486674,0.059710622905473694,1.001,0.561,0.039,45,Small No Reviews
Bondir Cambridge,42.3682904,-71.0977689,02139,Cambridge,MA,$$$$,4.0,313,newamerican,1,Beer & Wine Only,0,Street,1,1,0,Intimate,Casual,4,2.0,1.0,2.0,8.0,24.0,5.0,5.0,19.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,60,Meadium to Large Reviews
Giulia,42.382509999999996,-71.12009990000001,02138,Cambridge,MA,$$$,4.5,393,italian,1,Full Bar,0,Street,0,1,0,Intimate,Casual,2,3.0,1.0,4.0,6.0,4.0,3.0,2.0,21.0,0.6631735730623969,0.06005638597797755,0.0014894409277089206,0.14322570349486674,0.059710622905473694,1.001,0.561,0.039,45,Meadium to Large Reviews
Temple Bar,42.38273,-71.12006,02138,Cambridge,MA,$$,3.5,487,"newamerican,bars",1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,4.0,1.0,4.0,6.0,4.0,4.0,2.0,20.0,0.6631735730623969,0.06005638597797755,0.0014894409277089206,0.14322570349486674,0.059710622905473694,1.001,0.561,0.039,20,Meadium to Large Reviews
The Kirkland Tap & Trotter,42.378254999999996,-71.106949,02143,Somerville,MA,$$$,3.5,422,newamerican,1,Full Bar,0,Street,1,1,0,Hipster,Casual,2,3.0,6.0,4.0,19.0,24.0,3.0,2.0,12.0,0.6573351971748087,0.04399646851088876,0.0011035903472630959,0.09049440847557387,0.06912154208357857,0.9309999999999999,0.33899999999999997,0.033,45,Meadium to Large Reviews
Oleana Restaurant,42.37055,-71.09713,02139,Cambridge,MA,$$$,4.5,1366,mediterranean,1,Beer & Wine Only,1,Street,0,1,0,Romantic,Casual,2,8.0,2.0,9.0,8.0,33.0,6.0,7.0,19.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,45,Very Popular Resturant
Deuxave,42.349521,-71.089166,02115,Boston,MA,$$$,4.0,479,"newamerican,bars",1,Full Bar,1,Valet,0,1,0,Upscale,Dressy,2,13.0,2.0,23.0,28.0,14.0,20.0,12.0,27.0,0.6263822258514511,0.07441053383688884,0.0013949848593106733,0.14364941648804055,0.09513116260079617,0.915,0.359,0.09,45,Meadium to Large Reviews
Midwest Grill Brazilian BBQ,42.37285302,-71.09603,02139,Cambridge,MA,$$,3.0,360,"steak,brazilian,bbq",1,Full Bar,0,Street,1,1,0,Casual,Casual,2,10.0,2.0,13.0,7.0,28.0,6.0,4.0,13.0,0.5683822132993299,0.1338072112645487,0.0016278249545565533,0.15564719607151578,0.08223229062101522,0.9570000000000001,0.449,0.035,20,Meadium to Large Reviews
Woody's Grill and Tap,42.344859,-71.08957099999999,02115,Boston,MA,$$,4.0,257,"bars,tradamerican,pizza",1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,19.0,4.0,12.0,8.0,18.0,24.0,10.0,30.0,0.6263822258514511,0.07441053383688884,0.0013949848593106733,0.14364941648804055,0.09513116260079617,0.915,0.359,0.09,20,Medium No Reviews
Shaking Crab - Cambridge,42.38729,-71.11839,02140,Cambridge,MA,$$,3.5,85,"seafood,cajun",1,Full Bar,1,"Street, Private Lot",1,1,0,"Hipster, Casual, Trendy",Casual,2,13.0,4.0,5.0,12.0,18.0,8.0,7.0,16.0,0.5177269298466181,0.15639929595172242,0.001257229067136032,0.11878300226301232,0.05667588634649233,0.9520000000000001,0.433,0.049,20,Small No Reviews
Pho Basil,42.34576797,-71.08737183,02115,Boston,MA,$$,4.0,1017,"vietnamese,thai,seafood",1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,28.0,10.0,22.0,28.0,18.0,38.0,14.0,31.0,0.6263822258514511,0.07441053383688884,0.0013949848593106733,0.14364941648804055,0.09513116260079617,0.915,0.359,0.09,20,Very Popular Resturant
Cafe Mami,42.38743289,-71.11869726,02140,Cambridge,MA,$,4.0,469,"japanese,salad,steak",0,No,0,"Street, Private Lot",1,0,0,Casual,Casual,2,13.0,4.0,6.0,12.0,19.0,8.0,6.0,16.0,0.5177269298466181,0.15639929595172242,0.001257229067136032,0.11878300226301232,0.05667588634649233,0.9520000000000001,0.433,0.049,10,Meadium to Large Reviews
Summer Shack-Boston,42.347066999999996,-71.085658,02115,Boston,MA,$$,3.5,776,"seafood,bars,tradamerican",1,Full Bar,0,"Garage, Street, Validated",1,1,0,Casual,Casual,2,38.0,15.0,31.0,48.0,16.0,43.0,19.0,31.0,0.6263822258514511,0.07441053383688884,0.0013949848593106733,0.14364941648804055,0.09513116260079617,0.915,0.359,0.09,20,large Number of Reviews
Boston Shawarma,42.34111,-71.08778000000001,02115,Boston,MA,$,4.0,357,"mideastern,halal,mediterranean",1,No,0,Street,1,0,0,Casual,Casual,2,18.0,3.0,7.0,7.0,11.0,20.0,2.0,22.0,0.6263822258514511,0.07441053383688884,0.0013949848593106733,0.14364941648804055,0.09513116260079617,0.915,0.359,0.09,10,Meadium to Large Reviews
The Capital Grille,42.347811,-71.08511109,02115,Boston,MA,$$$$,4.5,830,"steak,seafood,wine_bars",1,Full Bar,1,"Valet, Garage, Street",0,1,0,"Classy, Upscale",Dressy,2,38.0,16.0,36.0,57.0,16.0,42.0,19.0,29.0,0.6263822258514511,0.07441053383688884,0.0013949848593106733,0.14364941648804055,0.09513116260079617,0.915,0.359,0.09,60,large Number of Reviews
Select Oyster Bar,42.34861,-71.08411,02115,Boston,MA,$$$,3.5,293,"seafood,bars",1,Full Bar,1,Street,0,1,0,Trendy,Casual,2,32.0,16.0,41.0,60.0,15.0,44.0,19.0,30.0,0.6263822258514511,0.07441053383688884,0.0013949848593106733,0.14364941648804055,0.09513116260079617,0.915,0.359,0.09,45,Medium No Reviews
Towne Stove and Spirits,42.3482841,-71.08347409999999,02115,Boston,MA,$$$,3.0,579,"newamerican,breakfast_brunch",1,Full Bar,1,Validated,1,1,0,Trendy,Dressy,2,33.0,16.0,40.0,60.0,14.0,46.0,19.0,29.0,0.6263822258514511,0.07441053383688884,0.0013949848593106733,0.14364941648804055,0.09513116260079617,0.915,0.359,0.09,45,Meadium to Large Reviews
Buk Kyung,42.37947570000001,-71.0955337,02143,Somerville,MA,$$,3.5,239,"korean,seafood",1,No,0,"Street, Private Lot",1,1,0,Casual,Casual,2,7.0,2.0,12.0,10.0,34.0,8.0,6.0,14.0,0.6573351971748087,0.04399646851088876,0.0011035903472630959,0.09049440847557387,0.06912154208357857,0.9309999999999999,0.33899999999999997,0.033,20,Medium No Reviews
The Independent,42.379665,-71.094874,02143,Somerville,MA,$$,3.5,399,"bars,newamerican",1,Full Bar,1,Street,1,1,0,Casual,Casual,2,7.0,2.0,12.0,10.0,34.0,9.0,6.0,15.0,0.6573351971748087,0.04399646851088876,0.0011035903472630959,0.09049440847557387,0.06912154208357857,0.9309999999999999,0.33899999999999997,0.033,20,Meadium to Large Reviews
Top of the Hub,42.34856613,-71.08228754,02199,Boston,MA,$$$,3.5,2019,"newamerican,wine_bars",1,Full Bar,0,Garage,0,1,0,"Classy, Upscale",Dressy,2,38.0,17.0,39.0,60.0,14.0,43.0,20.0,30.0,0.7316118935837246,0.011737089201877934,0.000782472613458529,0.11189358372456965,0.027386541471048513,1.02,0.452,0.035,45,Very Popular Resturant
Canary Square,42.31977,-71.11197,02130,Jamaica Plain,MA,$$,3.0,527,"newamerican,breakfast_brunch,burgers",1,Full Bar,1,Street,1,1,0,Casual,Casual,2,7.0,2.0,5.0,9.0,13.0,1.0,1.0,8.0,0.5067579427769001,0.10664760901727727,0.0014794754131247023,0.04568820682564759,0.20018054615211014,0.941,0.358,0.045,20,Meadium to Large Reviews
Casa B Tapas and Cocktail & Rum Bar,42.3797093,-71.0942732,02143,Somerville,MA,$$$,4.0,258,"caribbean,tapasmallplates,cocktailbars",1,Full Bar,0,Street,0,1,0,Casual,Casual,2,7.0,2.0,11.0,8.0,34.0,9.0,6.0,15.0,0.6573351971748087,0.04399646851088876,0.0011035903472630959,0.09049440847557387,0.06912154208357857,0.9309999999999999,0.33899999999999997,0.033,45,Medium No Reviews
Piattini,42.34969,-71.08122,02116,Boston,MA,$$,4.0,740,"italian,bars,salad",1,Full Bar,1,Street,1,1,0,Intimate,Casual,2,40.0,21.0,39.0,60.0,14.0,39.0,24.0,33.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,20,large Number of Reviews
The Cheesecake Factory,42.345867999999996,-71.08199300000001,02199,Boston,MA,$$,3.0,602,"newamerican,desserts",1,Full Bar,1,Garage,1,1,0,Casual,Casual,2,38.0,16.0,38.0,60.0,13.0,50.0,17.0,22.0,0.7316118935837246,0.011737089201877934,0.000782472613458529,0.11189358372456965,0.027386541471048513,1.02,0.452,0.035,20,large Number of Reviews
Atlantic Fish,42.34922179,-71.08112729,02116,Boston,MA,$$$,4.0,2251,"seafood,raw_food,cocktailbars",1,Full Bar,1,"Valet, Street",1,1,0,Classy,Casual,2,43.0,23.0,39.0,60.0,16.0,43.0,23.0,34.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,45,Very Popular Resturant
Demos,42.3663721,-71.18216729999999,02472,Watertown,MA,$,3.5,94,"mediterranean,greek",1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,13.0,9.0,3.0,18.0,16.0,4.0,6.0,14.0,0.7600919700806194,0.026106696935300794,0.0007276113973049274,0.0670566663756221,0.04930294828138188,0.961,0.311,0.044000000000000004,10,Small No Reviews
Lucca Back Bay,42.3465561,-71.07992809999999,02116,Boston,MA,$$$,4.0,300,"italian,wine_bars",1,Full Bar,1,"Valet, Garage",1,1,0,Romantic,Dressy,2,42.0,18.0,39.0,60.0,17.0,40.0,17.0,25.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,45,Medium No Reviews
SRV Boston,42.340918,-71.08161505,02118,Boston,MA,$$$,4.5,306,"italian,wine_bars",1,Full Bar,1,Street,0,1,0,Trendy,Dressy,2,10.0,2.0,11.0,24.0,25.0,15.0,3.0,16.0,0.43296507483962937,0.18100498930862438,0.001781895937277263,0.12872416250890947,0.17647897362794013,0.8490000000000001,0.32,0.047,45,Meadium to Large Reviews
Lemon Thai Cuisine,42.39025,-71.10767,02143,Somerville,MA,$$,4.0,296,"thai,seafood,soup",1,No,0,Street,1,0,0,Casual,Casual,2,2.0,1.0,1.0,6.0,13.0,3.0,2.0,7.0,0.6573351971748087,0.04399646851088876,0.0011035903472630959,0.09049440847557387,0.06912154208357857,0.9309999999999999,0.33899999999999997,0.033,20,Medium No Reviews
Social Restaurant & Bar,42.356596,-71.18682679999999,02458,Newton,MA,$$,3.5,150,"newamerican,bars,breakfast_brunch",1,Full Bar,0,"Garage, Street, Validated",1,1,0,Casual,Casual,2,5.0,1.0,2.0,5.0,15.0,3.0,6.0,6.0,0.7438706711615078,0.021069567882316887,0.00099601593625498,0.09760956175298804,0.04076003677597303,0.978,0.425,0.033,20,Small No Reviews
Max and Leo's,42.3569993,-71.1868365,02458,Newton,MA,$$,4.5,337,"pizza,bars",1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,5.0,1.0,2.0,5.0,15.0,3.0,6.0,6.0,0.7438706711615078,0.021069567882316887,0.00099601593625498,0.09760956175298804,0.04076003677597303,0.978,0.425,0.033,20,Meadium to Large Reviews
House of Siam,42.341409999999996,-71.08033,02118,Boston,MA,$$,3.5,176,"thai,seafood",1,Beer & Wine Only,0,Street,1,1,0,Casual,Casual,4,7.0,1.0,8.0,28.0,23.0,13.0,2.0,17.0,0.43296507483962937,0.18100498930862438,0.001781895937277263,0.12872416250890947,0.17647897362794013,0.8490000000000001,0.32,0.047,20,Medium No Reviews
Sorellina,42.34883672,-71.07790366,02116,Boston,MA,$$$$,4.0,637,"italian,bars,salad",1,Full Bar,0,"Valet, Street",0,1,0,"Classy, Upscale",Dressy,2,52.0,31.0,41.0,60.0,19.0,35.0,26.0,27.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,60,large Number of Reviews
Lolita Cocina & Tequila Bar Back Bay,42.35058604,-71.07750847,02116,Boston,MA,$$,4.0,1778,"mexican,lounges,cocktailbars",1,Full Bar,0,Street,0,1,0,Trendy,Casual,3,45.0,29.0,36.0,60.0,16.0,33.0,30.0,31.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,20,Very Popular Resturant
Fogo de ChÃƒÂ£o Brazilian Steakhouse,42.34880756,-71.0771622,02116,Boston,MA,$$$,4.0,648,"brazilian,steak",1,Full Bar,0,"Valet, Street",0,1,0,Classy,Casual,2,51.0,31.0,36.0,60.0,18.0,35.0,26.0,25.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,45,large Number of Reviews
Legal Sea Foods,42.34690284,-71.07746634,02116,Boston,MA,$$$,3.5,505,seafood,1,Full Bar,0,"Garage, Street, Validated",1,1,0,Casual,Casual,2,44.0,24.0,34.0,60.0,18.0,33.0,21.0,24.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,45,Meadium to Large Reviews
Thai Basil Restaurant,42.35092,-71.07669,02116,Boston,MA,$$,3.5,413,"thai,seafood,noodles",1,Beer & Wine Only,0,Street,1,1,0,Casual,Casual,2,40.0,26.0,32.0,60.0,17.0,32.0,33.0,31.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,20,Meadium to Large Reviews
Redbones BBQ,42.39520645,-71.12236023,02144,Somerville,MA,$$,3.5,1664,"bbq,bars,sandwiches",1,Full Bar,0,Street,1,1,0,Casual,Casual,3,19.0,11.0,15.0,19.0,24.0,10.0,5.0,10.0,0.7805123660678321,0.04628212358011762,0.00112784983485056,0.062353983726738095,0.045557077257713685,0.96,0.36200000000000004,0.035,20,Very Popular Resturant
Petit Robert Bistro,42.34283,-71.07858,02118,Boston,MA,$$,3.5,374,"french,breakfast_brunch,wine_bars",1,Full Bar,1,"Valet, Street",1,1,0,Casual,Casual,2,14.0,4.0,17.0,25.0,27.0,15.0,5.0,16.0,0.43296507483962937,0.18100498930862438,0.001781895937277263,0.12872416250890947,0.17647897362794013,0.8490000000000001,0.32,0.047,20,Meadium to Large Reviews
Legal Sea Foods,42.32257,-71.17038000000001,02467,Chestnut Hill,MA,$$$,3.0,233,seafood,1,Full Bar,1,Private Lot,1,1,0,Casual,Casual,2,10.0,6.0,5.0,6.0,2.0,3.0,6.0,1.0,0.7350205687712394,0.03854408871400465,0.00040243248077267036,0.14885530316580217,0.05562511178680021,1.0,0.534,0.031,45,Medium No Reviews
Giacomo's,42.34406,-71.077732,02116,Boston,MA,$$,4.0,1126,"italian,seafood,wine_bars",0,Beer & Wine Only,0,Street,1,1,0,Casual,Casual,3,18.0,9.0,20.0,19.0,24.0,19.0,9.0,13.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,20,Very Popular Resturant
Anchovies,42.343939,-71.077598,02116,Boston,MA,$$,4.0,349,"italian,bars,salad",1,Full Bar,0,Street,1,0,0,"Divey, Casual",Casual,2,15.0,8.0,20.0,18.0,25.0,18.0,7.0,11.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,20,Meadium to Large Reviews
Gaya Pizzeria,42.38452,-71.09302,02143,Somerville,MA,$,4.5,56,"pizza,italian",1,No,0,Street,1,0,0,Casual,Casual,4,14.0,6.0,12.0,2.0,24.0,1.0,3.0,3.0,0.6573351971748087,0.04399646851088876,0.0011035903472630959,0.09049440847557387,0.06912154208357857,0.9309999999999999,0.33899999999999997,0.033,10,Small No Reviews
Foundry on Elm,42.39564,-71.12165999999999,02144,Somerville,MA,$$,3.5,726,"bars,gastropubs,newamerican",1,Full Bar,0,Street,1,1,0,Trendy,Casual,2,18.0,10.0,14.0,14.0,25.0,10.0,5.0,11.0,0.7805123660678321,0.04628212358011762,0.00112784983485056,0.062353983726738095,0.045557077257713685,0.96,0.36200000000000004,0.035,20,large Number of Reviews
Greek Corner Restaurant,42.39648943,-71.12948206,02140,Cambridge,MA,$$,4.0,600,"greek,mediterranean",1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,4.0,2.0,3.0,7.0,14.0,3.0,1.0,9.0,0.5177269298466181,0.15639929595172242,0.001257229067136032,0.11878300226301232,0.05667588634649233,0.9520000000000001,0.433,0.049,20,Meadium to Large Reviews
Five Horses Tavern,42.39567,-71.1208599,02144,Somerville,MA,$$,3.5,695,"beerbar,newamerican,tacos",1,Full Bar,1,Street,1,1,0,Casual,Casual,3,17.0,9.0,14.0,13.0,19.0,10.0,5.0,10.0,0.7805123660678321,0.04628212358011762,0.00112784983485056,0.062353983726738095,0.045557077257713685,0.96,0.36200000000000004,0.035,20,large Number of Reviews
Davio's Chestnut Hill,42.32251399,-71.17025011,02467,Chestnut Hill,MA,$$$,3.5,107,"italian,steak,gluten_free",1,Full Bar,0,"Valet, Private Lot",1,1,0,Upscale,Casual,2,10.0,6.0,5.0,6.0,2.0,3.0,6.0,1.0,0.7350205687712394,0.03854408871400465,0.00040243248077267036,0.14885530316580217,0.05562511178680021,1.0,0.534,0.031,45,Small No Reviews
The Talk,42.36699,-71.18738,02472,Watertown,MA,$$,3.5,278,"tradamerican,italian",1,Full Bar,0,Street,1,1,0,Casual,Casual,2,11.0,7.0,2.0,19.0,16.0,3.0,8.0,8.0,0.7600919700806194,0.026106696935300794,0.0007276113973049274,0.0670566663756221,0.04930294828138188,0.961,0.311,0.044000000000000004,20,Medium No Reviews
Post 390,42.34886388,-71.0740035,02116,Boston,MA,$$$,3.5,614,"bars,newamerican",1,Full Bar,0,"Garage, Street, Validated",0,1,0,Trendy,Casual,2,36.0,25.0,34.0,60.0,25.0,32.0,34.0,27.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,45,large Number of Reviews
The Table at Season to Taste,42.3983409,-71.1310318,02140,Cambridge,MA,$$$$,4.5,154,newamerican,1,Beer & Wine Only,0,Street,0,1,0,Intimate,Casual,2,4.0,2.0,2.0,6.0,9.0,1.0,1.0,8.0,0.5177269298466181,0.15639929595172242,0.001257229067136032,0.11878300226301232,0.05667588634649233,0.9520000000000001,0.433,0.049,60,Medium No Reviews
The Brahmin,42.3484325,-71.0731806,02116,Boston,MA,$$,3.0,371,"newamerican,cocktailbars",1,Full Bar,1,"Valet, Garage, Street",1,1,0,Trendy,Dressy,3,40.0,25.0,36.0,60.0,29.0,27.0,33.0,33.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,20,Meadium to Large Reviews
FiRE + iCE  Grill + Bar,42.35066,-71.07249,02116,Boston,MA,$$,3.0,621,"mongolian,tradamerican,cocktailbars",1,Full Bar,0,"Garage, Street",0,1,0,Casual,Casual,3,36.0,23.0,29.0,60.0,26.0,25.0,30.0,33.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,20,large Number of Reviews
Mistral,42.34815783,-71.07275914,02116,Boston,MA,$$$$,4.0,895,french,1,Full Bar,0,"Valet, Street",1,1,0,"Classy, Upscale",Dressy,2,44.0,28.0,40.0,60.0,30.0,24.0,33.0,30.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,60,large Number of Reviews
Delux CafÃƒÂ©,42.34628,-71.07289,02116,Boston,MA,$$,4.0,295,"bars,tradamerican",0,Full Bar,0,Street,1,0,0,"Divey, Hipster, Casual",Casual,2,28.0,16.0,36.0,12.0,30.0,17.0,12.0,18.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,20,Medium No Reviews
Grill 23 & Bar,42.34942187,-71.07205006,02116,Boston,MA,$$$$,4.0,913,"seafood,steak,wine_bars",1,Full Bar,0,"Valet, Street",0,1,0,"Classy, Upscale",Dressy,2,38.0,23.0,34.0,60.0,29.0,26.0,32.0,26.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,60,large Number of Reviews
Toro,42.33696319,-71.07589408,02118,Boston,MA,$$$,4.0,1932,"tapas,spanish,cocktailbars",1,Full Bar,1,"Valet, Street",1,0,0,Trendy,Casual,3,13.0,3.0,5.0,11.0,38.0,8.0,7.0,17.0,0.43296507483962937,0.18100498930862438,0.001781895937277263,0.12872416250890947,0.17647897362794013,0.8490000000000001,0.32,0.047,45,Very Popular Resturant
75 Chestnut,42.35695,-71.07096999999999,02108,Boston,MA,$$,4.0,431,"newamerican,diners,steak",1,Full Bar,0,"Valet, Garage, Street",1,1,0,Intimate,Casual,2,7.0,3.0,8.0,19.0,2.0,9.0,5.0,8.0,0.8251765278792306,0.02337472607742878,0.0012174336498660824,0.03384465546627709,0.033114195276357436,1.016,0.44,0.042,20,Meadium to Large Reviews
Stephi's on Tremont,42.3436382,-71.07257,02118,Boston,MA,$$,3.5,459,"newamerican,comfortfood,bars",1,Full Bar,1,Street,1,1,0,Trendy,Casual,2,16.0,8.0,24.0,22.0,29.0,9.0,6.0,16.0,0.43296507483962937,0.18100498930862438,0.001781895937277263,0.12872416250890947,0.17647897362794013,0.8490000000000001,0.32,0.047,20,Meadium to Large Reviews
Da Vinci,42.3493148,-71.07075999999999,02116,Boston,MA,$$$,4.5,391,italian,1,Full Bar,1,"Valet, Street",1,1,0,"Romantic, Classy",Dressy,2,33.0,21.0,35.0,43.0,31.0,26.0,29.0,32.0,0.6282089744139202,0.05292932756182231,0.0010285861226588951,0.1326018943127759,0.04864355205074358,0.9490000000000001,0.441,0.040999999999999995,45,Meadium to Large Reviews
The Paramount,42.357291,-71.070088,02114,Boston,MA,$$,4.0,1458,"breakfast_brunch,newamerican,sandwiches",1,Beer & Wine Only,0,Street,1,0,0,Casual,Casual,2,11.0,4.0,8.0,15.0,2.0,8.0,6.0,9.0,0.6816561765374991,0.0609691362705695,0.0009099871085159627,0.08826874952604838,0.05937665883066656,0.9840000000000001,0.47,0.035,20,Very Popular Resturant
The Butcher Shop,42.343759999999996,-71.071454,02118,Boston,MA,$$$,4.0,481,"steak,butcher,modern_european",1,Beer & Wine Only,0,"Valet, Street",1,1,0,Trendy,Casual,2,17.0,9.0,28.0,22.0,32.0,11.0,9.0,17.0,0.43296507483962937,0.18100498930862438,0.001781895937277263,0.12872416250890947,0.17647897362794013,0.8490000000000001,0.32,0.047,45,Meadium to Large Reviews
Toscano Restaurant,42.35740838,-71.06984731,02114,Boston,MA,$$$,4.0,456,italian,1,Full Bar,0,Street,1,1,0,Classy,Dressy,2,11.0,5.0,8.0,15.0,2.0,9.0,6.0,9.0,0.6816561765374991,0.0609691362705695,0.0009099871085159627,0.08826874952604838,0.05937665883066656,0.9840000000000001,0.47,0.035,45,Meadium to Large Reviews
