,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
57,02474,28316,21804,644,16,2275,7,118,559,889,98.4%,,39.7%,3.3%,32.1 minutes,32.9%,53.8%,0.8%,5.1%,7.4%
58,02476,16728,14000,337,13,1266,0,60,350,506,98.7%,,40.6%,3.0%,31.8 minutes,29.4%,55.8%,1.0%,5.6%,8.2%
59,02478,25914,20084,438,18,2713,3,76,583,749,99.2%,,46.9%,3.2%,29.7 minutes,28.5%,58.6%,0.8%,4.9%,7.3%
60,02482,11116,8818,125,1,864,1,17,174,306,100.4%,,51.1%,3.8%,31.2 minutes,26.9%,62.2%,0.3%,4.5%,6.1%
61,02492,20474,17992,174,8,1034,2,28,273,420,100.5%,,43.9%,3.2%,32.0 minutes,24.5%,64.4%,0.5%,6.4%,4.2%
62,06807,7041,5789,66,2,610,2,28,135,518,97.5%,,31.5%,5.3%,33.0 minutes,28.6%,57.3%,0.6%,4.5%,8.9%
63,06810,51817,23637,3088,60,3339,12,1578,1393,16375,78.2%,,11.2%,6.4%,26.3 minutes,38.4%,42.9%,1.7%,5.6%,11.4%
64,06811,33148,22660,1942,46,2060,9,267,606,3810,92.1%,,17.9%,4.6%,27.3 minutes,32.8%,49.7%,1.4%,5.9%,10.2%
65,06830,25705,17710,830,18,1627,3,109,356,3374,94.9%,,32.3%,4.8%,30.6 minutes,27.7%,55.2%,2.1%,4.6%,10.3%
66,06840,20538,18032,194,22,662,3,26,229,570,100.1%,,38.2%,4.1%,40.2 minutes,23.5%,64.0%,0.6%,6.1%,5.9%
67,06870,7771,6286,70,8,415,2,21,138,376,101.0%,,43.1%,3.0%,37.0 minutes,21.1%,68.1%,0.3%,2.3%,8.2%
68,06877,25512,22422,174,19,789,12,26,282,953,100.2%,,36.5%,3.3%,35.2 minutes,20.5%,66.6%,0.6%,4.9%,7.4%
69,06901,7634,3175,1236,7,1117,3,31,112,1147,96.3%,,23.1%,6.7%,27.8 minutes,45.6%,37.4%,1.9%,4.3%,11.0%
70,06902,68852,24338,11768,81,4270,30,265,831,21823,85.4%,,16.4%,6.5%,26.0 minutes,39.5%,43.8%,2.7%,4.2%,9.8%
71,06905,20150,13561,1178,15,2102,3,53,307,2430,95.0%,,26.8%,6.4%,25.7 minutes,31.4%,54.2%,0.6%,6.2%,7.6%
72,06906,8552,5455,864,4,719,1,55,152,1838,89.8%,,21.8%,5.7%,28.8 minutes,36.0%,47.0%,1.1%,4.5%,11.3%
73,06907,9114,6424,621,4,594,6,32,107,1228,93.3%,,22.8%,8.2%,28.5 minutes,33.3%,49.3%,0.6%,6.4%,10.5%
74,07002,66715,35821,4735,66,4804,10,234,1110,16251,88.0%,,10.1%,5.3%,35.1 minutes,38.5%,45.3%,1.9%,5.6%,8.6%
75,07003,48677,22287,8092,102,3846,14,407,957,11607,92.4%,,14.6%,5.4%,33.6 minutes,38.3%,44.4%,2.3%,7.0%,8.0%
76,07004,7569,6774,46,3,183,0,0,50,384,94.9%,,11.3%,4.1%,23.3 minutes,24.5%,59.9%,0.6%,6.2%,8.8%
77,07006,25783,21401,396,9,1134,5,24,274,1569,95.6%,,21.1%,4.5%,30.3 minutes,29.0%,55.5%,1.1%,7.2%,7.2%
78,07008,24309,7812,3056,37,4308,6,122,437,7066,85.4%,,7.1%,8.7%,30.2 minutes,38.7%,47.7%,1.6%,5.5%,6.5%
79,07009,12724,10475,294,3,800,1,13,98,727,93.1%,,15.1%,3.4%,30.3 minutes,25.1%,56.6%,0.7%,10.2%,7.4%
80,07010,25014,12434,584,24,3219,10,189,430,6704,89.2%,,16.7%,4.6%,35.7 minutes,30.5%,50.9%,1.5%,6.6%,10.6%
81,07011,41921,15551,1908,42,2083,7,161,626,19332,84.7%,,5.5%,4.7%,27.8 minutes,41.5%,43.0%,2.4%,4.5%,8.6%
82,07012,11672,7456,410,8,1694,2,35,152,1946,93.3%,,17.8%,4.2%,29.3 minutes,30.4%,53.4%,0.5%,8.0%,7.7%
83,07014,5517,3070,195,15,676,2,11,99,1116,97.0%,,19.0%,1.1%,32.4 minutes,29.2%,55.3%,0.6%,7.2%,7.7%
84,07020,12170,5343,519,8,4076,6,43,240,1278,97.1%,,23.1%,4.0%,41.7 minutes,27.3%,58.4%,0.7%,4.7%,8.9%
85,07022,14519,4945,286,22,612,0,193,219,7558,73.0%,,5.6%,7.5%,35.1 minutes,37.6%,43.8%,3.7%,4.7%,10.2%
86,07024,37150,16510,804,29,13566,7,92,469,3876,95.7%,,23.8%,4.6%,38.0 minutes,25.3%,57.5%,1.7%,7.7%,7.7%
87,07026,31962,18008,1565,16,662,2,104,343,9855,83.7%,,5.4%,5.9%,25.1 minutes,36.0%,45.3%,2.0%,6.3%,10.5%
88,07030,53898,36607,1289,33,3516,11,117,830,7602,96.6%,,28.6%,3.1%,39.5 minutes,55.1%,35.2%,0.8%,3.0%,5.8%
89,07031,16014,10567,148,19,1201,2,91,153,3211,88.2%,,11.5%,5.0%,33.2 minutes,29.0%,53.2%,2.1%,7.3%,8.3%
90,07034,9769,5564,273,15,2179,0,31,307,991,93.1%,,17.0%,7.7%,29.8 minutes,30.9%,57.4%,0.6%,5.1%,5.9%
91,07035,10941,8478,167,15,775,0,15,143,1014,92.9%,,14.1%,3.0%,25.7 minutes,28.9%,50.1%,0.3%,7.3%,13.5%
92,07036,43729,19430,10417,58,1068,9,169,630,10189,86.4%,,7.2%,7.4%,28.7 minutes,40.1%,42.7%,2.4%,6.1%,8.7%
93,07039,30116,21528,614,9,5631,5,43,340,1188,98.1%,,31.8%,4.5%,33.9 minutes,22.2%,65.7%,0.7%,6.8%,4.5%
94,07040,24769,12590,8184,17,721,4,110,649,1601,96.3%,,32.0%,5.4%,41.2 minutes,28.5%,55.1%,2.2%,6.2%,7.9%
95,07042,26066,12314,9098,30,928,8,168,937,2116,95.8%,,29.8%,4.8%,36.9 minutes,39.5%,45.1%,2.5%,4.1%,8.7%
96,07044,14032,11766,271,2,538,1,28,166,812,98.2%,,24.4%,5.5%,32.2 minutes,24.7%,61.0%,0.7%,5.8%,7.8%
97,07047,63691,13370,1065,62,3835,18,231,623,41569,82.1%,,8.2%,8.8%,34.1 minutes,35.6%,44.2%,3.6%,5.4%,11.2%
98,07050,30857,1352,20972,114,448,3,169,439,6577,80.2%,,6.9%,11.7%,35.2 minutes,50.5%,30.2%,3.4%,6.7%,9.2%
99,07052,47711,22169,11834,80,3642,9,142,872,7434,93.2%,,22.0%,5.3%,32.8 minutes,33.6%,47.5%,1.7%,7.9%,9.3%
100,07054,29978,14933,922,51,10068,3,51,672,2605,93.1%,,22.1%,4.6%,28.1 minutes,30.2%,57.1%,1.1%,5.3%,6.3%
101,07055,71586,11270,5221,57,2924,3,198,580,49563,65.8%,,5.1%,6.0%,26.7 minutes,48.8%,38.5%,3.2%,4.0%,5.5%
102,07058,5505,3307,121,1,1554,0,3,112,274,96.4%,,29.8%,6.8%,28.7 minutes,22.1%,66.3%,0.9%,4.3%,6.5%
