,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
122,77450,75270,44688,3671,225,8805,33,196,1301,12970,95.3%,,18.6%,4.7%,33.7 minutes,26.4%,60.0%,1.1%,3.9%,8.6%
123,77459,66090,22686,14132,140,11532,15,122,1207,6440,97.2%,,19.2%,4.5%,33.6 minutes,26.4%,61.4%,1.0%,3.1%,8.0%
124,77469,44150,11508,7540,68,2450,5,74,484,13192,81.3%,,9.5%,3.0%,30.2 minutes,32.3%,51.8%,2.2%,4.4%,9.4%
125,77477,37314,7854,8568,85,7886,26,121,641,10716,83.0%,,11.1%,3.7%,26.0 minutes,35.8%,46.5%,1.9%,4.7%,11.1%
126,77478,25602,11462,1796,42,8320,6,74,538,2501,92.7%,,18.9%,3.0%,27.7 minutes,25.5%,60.2%,1.0%,6.0%,7.4%
127,77479,86740,33503,5100,124,27059,23,166,1803,6736,96.2%,,29.5%,3.9%,33.0 minutes,23.2%,68.3%,0.6%,3.1%,4.7%
128,77494,98913,37077,3655,162,8273,35,156,1121,11121,98.0%,,24.4%,2.2%,36.8 minutes,22.5%,68.5%,1.0%,2.8%,5.2%
129,77503,25621,7957,528,61,122,8,14,149,15412,71.9%,,2.8%,7.3%,26.1 minutes,34.4%,45.3%,4.1%,4.8%,11.4%
130,77505,24433,13489,491,69,1175,20,33,245,7701,89.5%,,8.6%,4.8%,26.2 minutes,28.7%,53.9%,2.2%,4.0%,11.3%
131,77521,56946,20925,9364,132,986,20,112,566,17402,83.6%,,5.3%,7.2%,25.0 minutes,31.7%,49.9%,2.1%,5.7%,10.6%
132,77536,32643,21824,312,105,432,18,18,281,7700,89.1%,,5.9%,6.3%,23.1 minutes,29.1%,53.8%,1.1%,4.4%,11.7%
133,77546,51938,34065,2381,126,3251,26,84,792,6911,95.4%,,16.6%,3.6%,31.6 minutes,23.8%,61.1%,1.1%,5.0%,9.0%
134,77565,7310,4508,214,17,195,1,4,55,796,97.0%,,13.0%,4.3%,29.4 minutes,26.9%,52.9%,3.2%,5.0%,12.1%
135,77571,37562,22202,2064,152,397,30,42,492,10287,88.9%,,6.0%,5.4%,26.9 minutes,27.2%,53.1%,2.1%,3.9%,13.8%
136,77573,83298,49767,4467,194,3683,31,126,1270,12042,96.2%,,15.3%,3.1%,30.7 minutes,25.2%,59.7%,0.9%,3.5%,10.8%
137,77581,46596,25467,3306,136,2664,12,61,575,10162,92.6%,,12.1%,3.0%,29.8 minutes,23.2%,61.0%,1.5%,4.4%,9.9%
138,77584,84919,29688,14096,167,11046,19,185,1445,13582,95.4%,,22.9%,3.7%,34.8 minutes,24.4%,62.7%,1.3%,3.7%,7.9%
139,77586,22599,16268,719,60,888,18,49,341,2627,97.1%,,15.1%,4.0%,28.6 minutes,29.1%,49.6%,0.9%,3.8%,16.6%
140,77590,31088,13957,5870,97,252,15,39,377,9767,78.6%,,3.4%,8.5%,24.8 minutes,30.5%,43.7%,4.0%,6.6%,15.2%
141,77598,24657,10891,3095,67,1458,19,67,516,6946,86.9%,,8.5%,5.9%,25.0 minutes,42.2%,35.0%,2.1%,4.2%,16.4%
