,name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category_x,id,Name,category_y,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
10,Giulia,42.38251,-71.12009990000001,False,2138.0,Cambridge,MA,$$$,4.5,https://www.yelp.com/biz/giulia-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,393,[],italian,9RH1xBIMMAZXg9s_XW_sLg,Giulia,Italian,$31-60,$31-60,,9,19,34,84,248,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Intimate,Casual,Average,,3.0,1.0,4.0,6.0,3.0,4.0,3.0,1.0,2.0,,1.0,21.0,,,,,,2138.0,37598.0,24934.0,2258.0,56.0,5385.0,4.0,134.0,1298.0,2245.0,100.1%,,56.1%,3.9%,23.8 minutes,58.3%,32.0%,0.7%,2.6%,6.4%
11,Temple Bar,42.38273,-71.12006,False,2138.0,Cambridge,MA,$$,3.5,https://www.yelp.com/biz/temple-bar-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,487,[],"newamerican,bars",JZPPsLYmLCc9uwuolor7cQ,Temple Bar,"American (New),Bars",$11-30,$11-30,,23,42,96,223,103,Yes,Full Bar,,No,,,Yes,Private Lot,,Yes,Yes,,Free,,,Casual,Average,,4.0,1.0,4.0,6.0,3.0,4.0,4.0,1.0,2.0,,1.0,20.0,,,,,,2138.0,37598.0,24934.0,2258.0,56.0,5385.0,4.0,134.0,1298.0,2245.0,100.1%,,56.1%,3.9%,23.8 minutes,58.3%,32.0%,0.7%,2.6%,6.4%
12,The Kirkland Tap & Trotter,42.378255,-71.106949,False,2143.0,Somerville,MA,$$$,3.5,https://www.yelp.com/biz/the-kirkland-tap-and-trotter-somerville-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,422,[],newamerican,u4dXemPMSM8TeDPmodFc2A,The Kirkland Tap & Trotter,American (New),$31-60,$31-60,,31,52,77,134,128,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,Free,,Hipster,Casual,Average,,3.0,,4.0,,2.0,24.0,3.0,,2.0,,,12.0,,,1.0,,,2143.0,27184.0,17869.0,1196.0,30.0,2460.0,9.0,412.0,659.0,1879.0,93.1%,,33.9%,3.3%,30.5 minutes,61.0%,29.2%,1.3%,3.4%,5.1%
13,Oleana Restaurant,42.37055,-71.09713,False,2139.0,Cambridge,MA,$$$,4.5,https://www.yelp.com/biz/oleana-restaurant-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1366,[],mediterranean,kLr68qdt6nutZCuCMz5mDg,Oleana Restaurant,Mediterranean,$31-60,$31-60,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Street,,No,Yes,,No,,Romantic,Casual,Average,,8.0,2.0,9.0,8.0,,33.0,6.0,3.0,7.0,,,19.0,1.0,,,,,2139.0,36859.0,20950.0,4932.0,60.0,5737.0,18.0,215.0,1406.0,3031.0,95.7%,,44.9%,3.5%,24.7 minutes,63.4%,26.2%,1.2%,2.3%,6.9%
14,Deuxave,42.349521,-71.089166,False,2115.0,Boston,MA,$$$,4.0,https://www.yelp.com/biz/deuxave-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,479,[],"newamerican,bars",E2De90kZUtXIS2dy-vn1yg,Deuxave,"American (New),Bars",$31-60,$31-60,,19,24,43,133,260,Yes,Full Bar,,No,,,Yes,Valet,,No,Yes,,No,,Upscale,Dressy,Average,,13.0,2.0,23.0,28.0,5.0,14.0,20.0,,12.0,1.0,1.0,27.0,5.0,,1.0,,,2115.0,29391.0,18410.0,2187.0,41.0,4222.0,12.0,95.0,678.0,2796.0,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
15,Midwest Grill Brazilian BBQ,42.37285302,-71.09603,False,2139.0,Cambridge,MA,$$,3.0,https://www.yelp.com/biz/midwest-grill-brazilian-bbq-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,360,"['pickup', 'delivery']","steak,brazilian,bbq",TfSZgUu1Uxwcve7q1j5fLQ,Midwest Grill Brazilian BBQ,"Steakhouses,Brazilian,Barbeque",$11-30,$11-30,,86,65,80,86,43,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,,10.0,2.0,13.0,7.0,,28.0,6.0,2.0,4.0,,,13.0,1.0,,,,,2139.0,36859.0,20950.0,4932.0,60.0,5737.0,18.0,215.0,1406.0,3031.0,95.7%,,44.9%,3.5%,24.7 minutes,63.4%,26.2%,1.2%,2.3%,6.9%
16,Woody's Grill and Tap,42.344859,-71.08957099999998,False,2115.0,Boston,MA,$$,4.0,https://www.yelp.com/biz/woodys-grill-and-tap-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,257,[],"bars,tradamerican,pizza",R7peDyHzKTGilwo_1fjt3g,Woody’s Grill and Tap,"Bars,American (Traditional),Pizza",$11-30,$11-30,,13,16,40,108,80,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,,19.0,4.0,12.0,8.0,5.0,18.0,24.0,2.0,10.0,,3.0,30.0,3.0,,1.0,,,2115.0,29391.0,18410.0,2187.0,41.0,4222.0,12.0,95.0,678.0,2796.0,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
17,Shaking Crab - Cambridge,42.38729,-71.11839,False,2140.0,Cambridge,MA,$$,3.5,https://www.yelp.com/biz/shaking-crab-cambridge-cambridge?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,85,['restaurant_reservation'],"seafood,cajun",HU2iYyCPkmP1gxuKYoiKNg,Shaking Crab - Cambridge,"Seafood,Cajun/Creole",$11-30,$11-30,,11,12,8,16,39,Yes,Full Bar,,No,,No,Yes,"Street, Private Lot",,Yes,Yes,Yes,Free,,"Hipster, Casual, Trendy",Casual,Average,,13.0,4.0,5.0,12.0,5.0,18.0,8.0,3.0,7.0,,1.0,16.0,2.0,1.0,,,1.0,2140.0,19885.0,10295.0,3110.0,25.0,2362.0,6.0,66.0,616.0,1127.0,95.2%,,43.3%,4.9%,30.4 minutes,45.9%,40.8%,1.7%,3.8%,7.7%
18,Pho Basil,42.34576797,-71.08737183,False,2115.0,Boston,MA,$$,4.0,https://www.yelp.com/biz/pho-basil-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1017,"['delivery', 'pickup']","vietnamese,thai,seafood",PSp0P_3zWIQabA5HAIJBMQ,Pho Basil,"Vietnamese,Thai,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,,28.0,10.0,22.0,28.0,6.0,18.0,38.0,,14.0,1.0,5.0,31.0,7.0,,2.0,,,2115.0,29391.0,18410.0,2187.0,41.0,4222.0,12.0,95.0,678.0,2796.0,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
19,Cafe Mami,42.38743289,-71.11869726,False,2140.0,Cambridge,MA,$,4.0,https://www.yelp.com/biz/cafe-mami-cambridge-4?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,469,['delivery'],"japanese,salad,steak",zkUgoHp4cyCpOyrJKofX6A,Cafe Mami,"Japanese,Salad,Steakhouses",Under $10,Under $10,,0,0,0,0,0,No,No,,No,,Yes,No,"Street, Private Lot",,Yes,No,No,No,,Casual,Casual,Average,,13.0,4.0,6.0,12.0,5.0,19.0,8.0,3.0,6.0,,1.0,16.0,2.0,1.0,,,1.0,2140.0,19885.0,10295.0,3110.0,25.0,2362.0,6.0,66.0,616.0,1127.0,95.2%,,43.3%,4.9%,30.4 minutes,45.9%,40.8%,1.7%,3.8%,7.7%
20,Summer Shack-Boston,42.347067,-71.085658,False,2115.0,Boston,MA,$$,3.5,https://www.yelp.com/biz/summer-shack-boston-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,776,"['delivery', 'pickup']","seafood,bars,tradamerican",I07zWZ_JGqVAp3ZPxIpDYg,Summer Shack-Boston,"Seafood,Bars,American (Traditional)",$11-30,$11-30,,62,97,160,242,216,Yes,Full Bar,,No,,,No,"Garage, Street, Validated",,Yes,Yes,,No,,Casual,Casual,Average,,38.0,15.0,31.0,48.0,7.0,16.0,43.0,,19.0,1.0,5.0,31.0,9.0,,2.0,,,2115.0,29391.0,18410.0,2187.0,41.0,4222.0,12.0,95.0,678.0,2796.0,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
21,Boston Shawarma,42.34111,-71.08778000000002,False,2115.0,Boston,MA,$,4.0,https://www.yelp.com/biz/boston-shawarma-boston-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,357,"['delivery', 'pickup']","mideastern,halal,mediterranean",rpIRK9g0uM7Mao5jB39m3w,Boston Shawarma,"Middle Eastern,Halal,Mediterranean",Under $10,Under $10,,24,21,38,95,179,Yes,No,,Yes,,Yes,No,Street,,Yes,No,No,No,,Casual,Casual,Average,,18.0,3.0,7.0,7.0,3.0,11.0,20.0,1.0,2.0,,3.0,22.0,,1.0,2.0,,,2115.0,29391.0,18410.0,2187.0,41.0,4222.0,12.0,95.0,678.0,2796.0,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
22,The Capital Grille,42.347811,-71.08511109,False,2115.0,Boston,MA,$$$$,4.5,https://www.yelp.com/biz/the-capital-grille-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,830,[],"steak,seafood,wine_bars",XUepp8T9xSMBuvlEG_-DrQ,The Capital Grille,"Steakhouses,Seafood,Wine Bars",Above $61,Above $61,,20,25,78,215,493,Yes,Full Bar,,Yes,,,Yes,"Valet, Garage, Street",,No,Yes,,Free,,"Classy, Upscale",Dressy,Average,Background,38.0,16.0,36.0,57.0,7.0,16.0,42.0,,19.0,1.0,3.0,29.0,9.0,,2.0,,,2115.0,29391.0,18410.0,2187.0,41.0,4222.0,12.0,95.0,678.0,2796.0,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
23,Select Oyster Bar,42.34861,-71.08411,False,2115.0,Boston,MA,$$$,3.5,https://www.yelp.com/biz/select-oyster-bar-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,293,[],"seafood,bars",ZAV8c9iGKV8zWHxOpTxdYQ,Select Oyster Bar,"Seafood,Bars",$31-60,$31-60,,29,30,38,88,109,Yes,Full Bar,,No,,No,Yes,Street,,No,Yes,Yes,No,,Trendy,Casual,Average,,32.0,16.0,41.0,60.0,6.0,15.0,44.0,,19.0,1.0,2.0,30.0,9.0,,1.0,,,2115.0,29391.0,18410.0,2187.0,41.0,4222.0,12.0,95.0,678.0,2796.0,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
24,Towne Stove and Spirits,42.3482841,-71.08347409999998,False,2115.0,Boston,MA,$$$,3.0,https://www.yelp.com/biz/towne-stove-and-spirits-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,579,"['delivery', 'pickup']","newamerican,breakfast_brunch",JIBJ_1aH_gHgbLnAIX5hEw,Towne Stove and Spirits,"American (New),Breakfast & Brunch",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Validated,,Yes,Yes,Yes,Free,,Trendy,Dressy,Average,,33.0,16.0,40.0,60.0,6.0,14.0,46.0,,19.0,1.0,7.0,29.0,13.0,,1.0,,,2115.0,29391.0,18410.0,2187.0,41.0,4222.0,12.0,95.0,678.0,2796.0,91.5%,,35.9%,9.0%,22.4 minutes,79.8%,13.4%,0.9%,2.8%,3.0%
25,Buk Kyung,42.37947570000001,-71.0955337,False,2143.0,Somerville,MA,$$,3.5,https://www.yelp.com/biz/buk-kyung-somerville?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,239,[],"korean,seafood",zL2-u9LuxmPzC9d5qnTkvQ,Buk Kyung,"Korean,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,No,,Yes,,,No,"Street, Private Lot",,Yes,Yes,,No,,Casual,Casual,Average,,7.0,2.0,12.0,10.0,1.0,34.0,8.0,,6.0,,2.0,14.0,1.0,,,,,2143.0,27184.0,17869.0,1196.0,30.0,2460.0,9.0,412.0,659.0,1879.0,93.1%,,33.9%,3.3%,30.5 minutes,61.0%,29.2%,1.3%,3.4%,5.1%
26,The Independent,42.379665,-71.094874,False,2143.0,Somerville,MA,$$,3.5,https://www.yelp.com/biz/the-independent-somerville?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,399,[],"bars,newamerican",xXj6XsEvpRJ0hMHAh9N02A,The Independent,"Bars,American (New)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,,7.0,2.0,12.0,10.0,1.0,34.0,9.0,,6.0,,2.0,15.0,1.0,,,,,2143.0,27184.0,17869.0,1196.0,30.0,2460.0,9.0,412.0,659.0,1879.0,93.1%,,33.9%,3.3%,30.5 minutes,61.0%,29.2%,1.3%,3.4%,5.1%
27,Top of the Hub,42.34856613,-71.08228754,False,2199.0,Boston,MA,$$$,3.5,https://www.yelp.com/biz/top-of-the-hub-boston?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,2019,[],"newamerican,wine_bars",Ug6ngfzLT_cPzSttve1OzQ,Top of the Hub,"American (New),Wine Bars",$31-60,$31-60,,258,253,406,649,456,Yes,Full Bar,,No,,,No,Garage,,No,Yes,,Free,,"Classy, Upscale",Dressy,Average,Live,38.0,17.0,39.0,60.0,6.0,14.0,43.0,,20.0,1.0,6.0,30.0,14.0,,1.0,,,2199.0,1278.0,935.0,15.0,1.0,143.0,0.0,0.0,17.0,35.0,102.0%,,45.2%,3.5%,22.9 minutes,26.1%,62.8%,3.1%,2.8%,5.2%
28,Canary Square,42.31977,-71.11197,False,2130.0,Jamaica Plain,MA,$$,3.0,https://www.yelp.com/biz/canary-square-jamaica-plain?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,527,[],"newamerican,breakfast_brunch,burgers",QvCYvbMNkRTe4UqVwmyb3w,Canary Square,"American (New),Breakfast & Brunch,Burgers",$11-30,$11-30,,63,108,113,148,96,Yes,Full Bar,,No,,No,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,,7.0,2.0,5.0,9.0,2.0,13.0,1.0,3.0,1.0,,,8.0,,,1.0,,,2130.0,39879.0,20209.0,4253.0,59.0,1822.0,7.0,192.0,876.0,7983.0,94.1%,,35.8%,4.5%,31.6 minutes,52.7%,33.4%,2.3%,3.6%,7.9%
