name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category_x,id,Name,category_y,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
Raclette,40.728929799999996,-73.98060100000001,False,10009.0,New York,NY,$$,4.0,https://www.yelp.com/biz/raclette-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,986,"['pickup', 'delivery']","sandwiches,french",5m-TrbqMNnwJvOd7pAt6OA,Raclette,"Sandwiches,French",$11-30,$11-30,"
                                A
                            ",43,43,124,310,468,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,Yes,Free,,Casual,,Average,,27.0,2.0,60.0,60.0,3.0,35.0,42.0,,13.0,1.0,5.0,49.0,,1.0,1.0,,
Au Za'atar,40.72893719,-73.98126749,False,10009.0,New York,NY,$$,4.0,https://www.yelp.com/biz/au-zaatar-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,424,"['pickup', 'delivery']","wine_bars,lebanese,mediterranean",0FaLilJs2VN83hOEBcBnPg,Au Za’atar,"Wine Bars,Lebanese,Mediterranean",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,"Garage, Street",,Yes,Yes,Yes,No,,"Casual, Intimate",Casual,Average,,31.0,4.0,60.0,60.0,3.0,39.0,47.0,,14.0,5.0,7.0,52.0,1.0,1.0,1.0,,
Momofuku Noodle Bar,40.72920638,-73.98448482,False,10003.0,New York,NY,$$,3.5,https://www.yelp.com/biz/momofuku-noodle-bar-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,3967,[],"ramen,newamerican",HfJhenvKDi-ds8SUJFwrLg,Momofuku Noodle Bar,"Ramen,American (New)",$11-30,$11-30,"
                                A
                            ",199,552,1033,1322,862,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Loud,,53.0,8.0,60.0,60.0,7.0,40.0,60.0,,19.0,7.0,15.0,60.0,2.0,2.0,4.0,,
Westville - East,40.72847,-73.98213,False,10009.0,New York,NY,$$,4.0,https://www.yelp.com/biz/westville-east-new-york-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,983,"['pickup', 'delivery']","tradamerican,beerbar,bakeries",3idAtiEXe_XfTcPoZC_DcQ,Westville - East,"American (Traditional),Beer Bar,Bakeries",$11-30,$11-30,"
                                A
                            ",32,47,114,441,349,Yes,Beer & Wine Only,,Yes,,No,No,Street,,Yes,No,Yes,No,,Casual,Casual,Average,,32.0,6.0,60.0,60.0,5.0,35.0,56.0,,14.0,5.0,9.0,56.0,1.0,1.0,1.0,,
The Smith,40.7310675,-73.98862170000001,False,10003.0,New York,NY,$$,3.5,https://www.yelp.com/biz/the-smith-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1807,"['pickup', 'delivery']","newamerican,breakfast_brunch,cocktailbars",k5NAz3-goMXKoUqPfOZ1Hw,The Smith,"American (New),Breakfast & Brunch,Cocktail Bars",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Trendy,Casual,Loud,,60.0,24.0,60.0,60.0,14.0,43.0,60.0,1.0,55.0,8.0,20.0,60.0,11.0,4.0,9.0,,
Horus Caf√© on A,40.727917,-73.98200600000001,False,10009.0,New York,NY,$$,3.0,https://www.yelp.com/biz/horus-caf%C3%A9-on-a-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,317,"['pickup', 'delivery']","mideastern,hookah_bars,mediterranean",KwPwhRfnoVZwu7ztfzPSPA,Horus Café on A,"Middle Eastern,Hookah Bars,Mediterranean",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,,36.0,6.0,60.0,60.0,5.0,36.0,55.0,,15.0,5.0,8.0,53.0,1.0,1.0,3.0,,
Eleven B,40.72745,-73.97974,False,10009.0,New York,NY,$$,3.5,https://www.yelp.com/biz/eleven-b-new-york-4?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,187,"['pickup', 'delivery']","italian,pizza,wine_bars",Hc0p6xWxJthMZIlckFzgZA,Eleven B,"Italian,Pizza,Wine Bars",$11-30,$11-30,"
                                A
                            ",28,22,26,50,61,Yes,Beer & Wine Only,,Yes,,No,No,"Garage, Street",,Yes,Yes,Yes,Free,,Casual,Casual,Average,,27.0,,60.0,60.0,4.0,41.0,38.0,,14.0,1.0,4.0,48.0,,1.0,3.0,,
Solas,40.729729999999996,-73.988074,False,10003.0,New York,NY,$$,3.0,https://www.yelp.com/biz/solas-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,572,[],"lounges,danceclubs",f0QreVur1bLIdTDRpQPlvw,Solas,"Lounges,Dance Clubs",Moderate,Moderate,"
                                A
                            ",0,0,0,0,0,Yes,Full Bar,,,,,No,"Garage, Street",,,Yes,,No,,Casual,,Very Loud,DJ,60.0,18.0,60.0,60.0,16.0,42.0,60.0,,46.0,9.0,22.0,60.0,10.0,3.0,5.0,,
Thursday Kitchen,40.7275,-73.9838,False,10009.0,New York,NY,$$,4.5,https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,962,[],"korean,newamerican,tapasmallplates",fVbUVAiLiGgLA_nxBFxyww,Thursday Kitchen,"Korean,American (New),Tapas/Small Plates",$11-30,$11-30,"
                                A
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,No,No,Street,,No,No,No,No,,"Casual, Trendy",Casual,Average,,35.0,6.0,60.0,60.0,8.0,30.0,60.0,,17.0,6.0,10.0,60.0,1.0,1.0,4.0,,
Angel's Share,40.72970975,-73.98914922,False,10003.0,New York,NY,$$,4.5,https://www.yelp.com/biz/angels-share-new-york?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1933,[],"cocktailbars,speakeasies",ZD22cMZvSmfNsXS9vKizGA,Angel’s Share,"Cocktail Bars,Speakeasies",Moderate,Moderate,,80,52,170,603,1033,Yes,Full Bar,,,,,No,Street,,,No,No,No,,Intimate,,Average,,60.0,18.0,60.0,60.0,16.0,42.0,60.0,,53.0,9.0,21.0,60.0,11.0,3.0,7.0,,
